coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Catwoman's Whip,"1,181 ft ",22.4 mph ,Six Flags New England,Operating,2000,Steel Family,Zierer,Family Coaster,26.25 ft,0,,,,DC Universe,2:30,1250 riders per hour,,Zierer,,20Â ft (6.1Â m),22.4 mph ,36.0 km/h,22.4,mph,22.4,26.25,ft,,0,
Panic Coaster Back Daaan,767.7 ft,18.6 mph,Tokyo Dome City Attractions,Operating,2019,Steel Shuttle Enclosed,Gerstlauer,Family Coaster,13.5 ft,0,Two Tire propelled launches,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Geopolis,2:00,,,,,,18.6 mph ,29.9 km/h,18.6,mph,18.6,13.5,ft,,0,
Pegase Express,"3,044.6 ft",32.3 mph,Parc Astérix,Operating,2017,Steel Family Launched,Gerstlauer,Family Coaster,68.8 ft ,0,,"â‚¬16,000,000",4 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,La GrÃ¨ce Antique,3:00,1200 riders per hour,,Jora Vision,,,32.3 mph ,52.0 km/h,32.3,mph,32.3,68.8,ft,,0,
Rewind Racers,593.8 ft,31.1 mph,Adventure City,Operating,2015,Steel Shuttle,Gerstlauer,Family Coaster,39.3 ft ,0,Chain lift hill,"$2,000,000 ",Single train with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,,,,,,,31.1 mph ,50.1 km/h,31.1,mph,31.1,39.3,ft,,0,
Canyon Blaster (Six Flags Magic Mountain),,10 mph ,Six Flags Magic Mountain,Operating,1999,Steel,E&F Miler Industries,Family Coasters/16ft Oval w/helix on left,8 ft ,0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Bugs Bunny World,0:52,200 riders per hour,1,Chance Rides,,6Â ft (1.8Â m),10 mph ,16 km/h,10,mph,10,8,ft,,0,1
Frankie's Mine Train,262.5 ft,,Frontier City,Operating,2019,Steel Junior,Zamperla,Family Gravity Coaster 80STD,13 ft,,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,,,,,,,,,,,13,ft,,0,
Frankie's Mine Train,262.5 ft,,Six Flags Great Escape,Operating,2005,Steel Junior,Zamperla,Family Gravity Coaster 80STD,13 ft,,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,,,,,,,,,,,13,ft,,0,
Grand Exposition Coaster,280 ft,,Silver Dollar City,Operating,2023,Steel Kiddie,Zamperla,Family gravity coaster 80STD,10 ft ,,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,,,,,,,,,,,10,ft,,0,
Great Chase (Six Flags America),280 ft,11 mph,Six Flags America,Operating,1999,Steel,Zamperla,Family Gravity Coaster 80STD,13 ft,0,,,,Looney Tunes Movie Town,1:06,,,,,,11 mph ,18 km/h,11,mph,11,13,ft,,0,
Lil' Devil Coaster,262.5 ft,,Six Flags Great Adventure,Operating,2021,Steel Kiddie,Zamperla,Family Gravity Coaster 80STD,13 ft,0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Looney Tunes Seaport,0:40,,,,,,,,,,,13,ft,,0,
Road Runner Express (Six Flags Discovery Kingdom),262.5 ft,,Six Flags Discovery Kingdom,Operating,1999,Steel,Zamperla,Family Gravity Coaster 80STD,13 ft,0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Looney Tunes Seaport,,,,,,,,,,,,13,ft,,0,
The Howler,262.5 ft,16 mph,Holiday World & Splashin' Safari,Operating,1999,Steel,Zamperla,Family Gravity Coaster 80STD,13 ft,0,Chain Lift Hill,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Fourth of JulyÂ - Holidog's FunTown,0:25,410 riders per hour,,,,,16 mph ,26 km/h,16,mph,16,13,ft,,0,
Woodstock Express (Dorney Park),262.5 ft,13 mph,Dorney Park & Wildwater Kingdom,Operating,2000,Steel,Zamperla,Family Gravity Coaster 80STD,13 ft,0,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Planet Snoopy,,,,,,8Â ft (2.4Â m),13 mph ,21 km/h,13,mph,13,13,ft,,0,
Family Inverted Coaster (Happy Valley Shanghai),"1,328.8 ft",30.4 mph ,Happy Valley Shanghai,Operating,2014,Steel Inverted,Bolliger & Mabillard,Family Inverted Coaster,65.6 ft,,Chain lift hill,,,,,,,,,,30.4 mph ,48.9 km/h,30.4,mph,30.4,65.6,ft,,0,
Merlin's Mayhem,"1,300 ft",,Dutch Wonderland,Operating,2018,Steel Family Inverted,S&S Sansei Technologies,Family Inverted Coaster,60 ft ,0,Chain lift hill,"$7,500,000 ",Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:00,,,Joe Draves,,,,,,,,60,ft,,0,
Wave Breaker: The Rescue Coaster,"2,600 ft ",44 mph ,SeaWorld San Antonio,Operating,2017,Steel Launched Motorbike,Intamin,Family Launch Coaster,61 ft ,0,,"$18,000,000 ",3 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,886 riders per hour,,SeaWorld Parks & Entertainment,,,44 mph ,71 km/h,44,mph,44,61,ft,,0,
Tigre de SibÃ©rie,"1,181 ft ",25 mph,Le Pal,Operating,1990,Steel,Reverchon Industries,Figure Eight,42.7 ft ,,,,,,,,,,,,24.9 mph ,40.1 km/h,24.9,mph,24.9,42.7,ft,,0,
Firebird (roller coaster),"2,900 ft",55 mph,Six Flags America,Operating,2019,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,100 ft,2,Chain lift hill,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,2:00,1220 riders per hour,,Werner Stengel,,90Â ft (27Â m),55 mph ,89 km/h,55,mph,55,100,ft,,2,
Medusa (Six Flags Discovery Kingdom),"3,937 ft",65 mph,Six Flags Discovery Kingdom,Operating,2000,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,150 ft,7,Chain lift hill,"$15,000,000 USD",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Sky,3:15,1600 riders per hour,4.5,Werner Stengel,,150Â ft (46Â m),65 mph ,105 km/h,65,mph,65,150,ft,,7,4.5
Hair Raiser,"2,788.8 ft",55 mph,Ocean Park Hong Kong,Operating,2011,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,114.8 ft,4,1 Chain lift hill,,,,60 seconds,,4,,,,88 km/h ,55 mph,88,km/h,54.7,114.8,ft,,4,4
Hydra the Revenge,"3,198 ft ",53 mph,Dorney Park & Wildwater Kingdom,Operating,2005,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,95 ft ,7,Chain lift hill,"$13,000,000 USD",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:35,"1,245 riders per hour",,Werner Stengel,68Â°,105Â ft (32Â m),53 mph ,85 km/h,53,mph,53,95,ft,,7,
Nitro (Imagicaa),"2,800 ft",65.2 mph,Imagicaa,Operating,2013,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,132 ft,5,Chain lift hill,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Americana,2:30,,,,,,65.2 mph ,104.9 km/h,65.2,mph,65.2,132,ft,,5,
Patriot (California's Great America),"1,920 ft",45 mph,California's Great America,Operating,1991,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,91 ft,2,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Hometown Square,2:14,1200 riders per hour,,Werner Stengel,,,45 mph ,72 km/h,45,mph,45,91,ft,,2,
Rougarou (roller coaster),"3,900 ft",60 mph,Cedar Point,Operating,2015,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,145 ft ,4,Chain lift hill,"US$12,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Millennium Midway,2:40,1800 riders per hour,,Werner Stengel,52Â°,137Â ft (42Â m),60 mph ,97 km/h,60,mph,60,145,ft,,4,
Scream (roller coaster),"3,985 ft",63 mph,Six Flags Magic Mountain,Operating,2003,Steel,Bolliger & Mabillard,Floorless Coaster,150 ft,7,Chain lift hill,,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Screampunk District,3:00,"1,440 riders per hour",4[1],Werner Stengel,,141Â ft (43Â m),63 mph ,101 km/h,63,mph,63,150,ft,,7,4
Superman: La Atraccin de Acero,"3,608.9 ft ",62.1 mph,Parque Warner Madrid,Operating,2002,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,164.1 ft,7,,,,,2:26,,,,,,62.1 mph ,99.9 km/h,62.1,mph,62.1,164.1,ft,,7,
Vortex (Great America),"1,920 ft",45 mph,California's Great America,Operating,1991,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,91 ft ,2,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Hometown Square,2:14,1200 riders per hour,,Werner Stengel,,,45 mph ,72 km/h,45,mph,45,91,ft,,2,
Superman: Krypton Coaster,"4,025 ft",70 mph,Six Flags Fiesta Texas,Operating,2000,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster - Custom,168 ft,6,Chain lift hill,$20 million,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Spassburg,2:35,1600 riders per hour,3.8,Werner Stengel,58Â°,163Â ft (50Â m),70 mph ,110 km/h,70,mph,70,168,ft,,6,3.8
Bizarro (roller coaster),"3,985 ft",61 mph,Six Flags Great Adventure,Operating,1999,Steel,Bolliger & Mabillard,Floorless Coaster / Medusa,142 ft ,7,Chain lift hill,"USD15,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Frontier Adventures,2:20,1350 riders per hour,4,Werner Stengel,,132Â ft (40Â m),61 mph ,98 km/h,61,mph,61,142,ft,,7,4
Batman: The Dark Knight (roller coaster),"2,850 ft",55 mph,Six Flags New England,Operating,2002,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,117.8 ft ,5,Chain lift hill,"$9,500,000[2]",2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Gotham City,2:20,,,,,,55 mph ,89 km/h,55,mph,55,117.8,ft,,5,
Dive Coaster (Chimelong Paradise),,68.4 mph ,Chimelong Paradise,Operating,2008,Steel Dive Coaster,Bolliger & Mabillard,Floorless Dive Coaster,197 ft,1,Chain lift hill,,,,,,4.4,,90Â°,,68.4 mph ,110.1 km/h,68.4,mph,68.4,197,ft,,1,4.4
Dominator (roller coaster),"4,210 ft",65 mph,Kings Dominion,Operating,2008,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,157 ft,5,Chain lift hill,,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:06,1600 riders per hour,3.8,Werner Stengel,57Â°,148Â ft (45Â m),65 mph ,105 km/h,65,mph,65,157,ft,,5,3.8
Crystal Wing,"2,798 ft ",51 mph ,Happy Valley Beijing,Operating,2006,Steel Flying,Bolliger & Mabillard,Flying Coaster,106 ft,2,,,,,,,,,,100Â ft (30Â m),51 mph ,82 km/h,51,mph,51,106,ft,,2,
Tatsu,"3,602 ft",62 mph,Six Flags Magic Mountain,Operating,2006,Steel Flying,Bolliger & Mabillard,Flying Coaster,170 ft,4,Chain Lift,"US$21,000,000",3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Samurai Summit,2:00,"1,600 riders per hour",,,,111Â ft (34Â m),62 mph ,100 km/h,62,mph,62,170,ft,,4,
The Flying Dinosaur,"3,687.7 ft",62 mph,Universal Studios Japan,Operating,2016,Steel Flying,Bolliger & Mabillard,Flying Coaster - Custom,151 ft,5,Chain lift hill,"JPY$10,000,000,000",4 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,,,,124Â ft (38Â m),62 mph ,100 km/h,62,mph,62,151,ft,,5,
