coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Valkyria (roller coaster),"2,296.6 ft",65.2 mph,Liseberg,Operating,2018,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,154.2 ft ,3,,,3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,,,"1,100 riders per hour",,,,164Â ft (50Â m),65.2 mph ,104.9 km/h,65.2,mph,65.2,154.2,ft,,3,
Valravn (roller coaster),"3,415 ft",75 mph,Cedar Point,Operating,2016,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,223 ft,3,Chain lift hill,,3 trains with 3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Main Midway,2:23,"1,200 riders per hour",,,90Â°,214Â ft (65Â m),75 mph ,121 km/h,75,mph,75,223,ft,,3,
Shaman (roller coaster),"2,296.7 ft ",43.5 mph,Gardaland,Operating,1985,Steel,Vekoma,Double Loop with Corkscrew,98.5 ft,4,Chain lift hill,,,Energy,2 min,1000 riders per hour,,Vekoma,,,43.5 mph ,70.0 km/h,43.5,mph,43.5,98.5,ft,,4,
Teststrecke,"2,200 ft",52 mph,Karlsruhe,Operating,2009,Steel,Anton Schwarzkopf,Double Looping,93 ft ,2,Chain lift hill,,,,2:00,,,Werner Stengel,,,52 mph ,84 km/h,52,mph,52,93,ft,,2,
Colossus the Fire Dragon,"2,850 ft",55 mph,Lagoon Amusement Park,Operating,1983,Steel,Anton Schwarzkopf,Double Looping (with additional trackway curve),85 ft,2,Chain lift hill,2.5 Million,3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,South Midway,1:45,,4.9 (Back Seat)4.0 (Front Seat),Ingenieur BÃ¼ro Stengel GmbH,60Â°,81Â ft (25Â m),55 mph ,89 km/h,55,mph,55,85,ft,,2,4.9
Mumbo Jumbo (roller coaster),,41 mph,Flamingo Land Resort,Operating,2009,Steel,S&S Sansei Technologies,El Loco,98 ft ,2,Chain lift hill,Â£4 million,,,,,3,,112Â°,,41 mph ,66 km/h,41,mph,41,98,ft,,2,3
Steel Hawg,,41 mph,Indiana Beach,Operating,2008,Steel,S&S Sansei Technologies,El Loco,96 ft ,2,Chain lift hill,,4 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,,Alan Schilke,111Â°,,41 mph ,66 km/h,41,mph,41,96,ft,,2,
Tulireki,"1,102.4 ft",36 mph,Linnamonaki,Operating,2004,Steel,Mack Rides,e-Motion Coaster,54.2 ft ,0,,,,,,,3.5,,,,36 mph ,58 km/h,36,mph,36,54.2,ft,,0,3.5
The Walking Dead: The Ride,"1,312.3 ft ",27.7 mph ,Thorpe Park Resort,Operating,2018,Steel,Vekoma,Enigma,41.7 ft ,0,Drive tire lift hill,,5 trains with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,The Dock Yard,2:00,700 riders per hour,2.4,Vekoma,,32Â ft (9.8Â m),27.7 mph ,44.6 km/h,27.7,mph,27.7,41.7,ft,,0,2.4
The Walking Dead: The Ride,"1,312.3 ft ",27.7 mph ,Thorpe Park Resort,Operating,2018,Steel,Vekoma,Enigma,41.7 ft ,0,Drive tire lift hill,,5 trains with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,The Dock Yard,2:00,700 riders per hour,2.4,Vekoma,,32Â ft (9.8Â m),27.7 mph ,44.6 km/h,27.7,mph,27.7,41.7,ft,,0,2.4
Defiance (roller coaster),,56 mph,Glenwood Caverns Adventure Park,Operating,2022,Steel,Gerstlauer,Eurofighter,75 ft ,2,Chain lift hill,,2 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,,,,102.3Â°,110Â ft (34Â m),56 mph ,90 km/h,56,mph,56,75,ft,,2,
Saw The Ride,"2,362 ft ",55 mph,Thorpe Park Resort,Operating,2009,Steel Euro-Fighter,Gerstlauer,Eurofighter,100 ft,3,Vertical chain lift hill,Â£13.5 million,8 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Old Town,1:40,,,,100Â°,,55 mph ,89 km/h,55,mph,55,100,ft,,3,
Tantrum (roller coaster),"1,246.7 ft",52.8 mph,Six Flags Darien Lake,Operating,2018,Steel,Gerstlauer,Euro-Fighter,98.4 ft,3,Chain lift hill,,3 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,1:00,,,,97Â°,,52.8 mph ,85.0 km/h,52.8,mph,52.8,98.4,ft,,3,
Dare Devil Dive,"2,099 ft",52 mph,Six Flags Over Georgia,Operating,2011,Steel,Gerstlauer,Euro-Fighter (Custom),95 ft ,3,Vertical chain lift hill,"$9,000,000 ",4 trains with a single car. Riders are arranged 2 across in 3 rows for a total of 6 riders per train.,USA Section,1:40,,,,95Â°,,52 mph ,84 km/h,52,mph,52,95,ft,,3,
Mystery Mine,"1,804.5 ft",43.5 mph,Dollywood,Operating,2007,Steel Euro-Fighter,Gerstlauer,Euro-Fighter (Custom),85.3 ft ,2,Two Chain lift hills,$17.5 million,7 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Timber Canyon,2:30,1000 riders per hour,,Werner Stengel,95Â°,,43.5 mph ,70.0 km/h,43.5,mph,43.5,85.3,ft,,2,
SpongeBob SquarePants Rock Bottom Plunge,"1,371.4 ft",43.5 mph,Nickelodeon Universe,Operating,2008,Steel Euro-Fighter Indoor,Gerstlauer,Euro-Fighter (Custom),74.5 ft ,2,vertical Chain lift,"$2,500,000 ",Several trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,2:00,750 riders per hour,4.4,Werner Stengel,97Â°,,43.5 mph ,70.0 km/h,43.5,mph,43.5,74.5,ft,,2,4.4
Iron Shark,"1,246 ft",52 mph,Galveston Island Historic Pleasure Pier,Operating,2012,Steel,Gerstlauer,Euro-Fighter (Iron Shark),100 ft,4,Vertical chain lift hill,,3 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,1:00,,,,,,52 mph ,84 km/h,52,mph,52,100,ft,,4,
Rage (roller coaster),"1,184 ft ",43.5 mph,Adventure Island,Operating,2007,Steel Euro-Fighter,Gerstlauer,Euro-Fighter Model 320+,72 ft,3,,,,,0:50,,4.5,Ingenieur BÃ¼ro Stengel GmbH,97Â°,,43.5 mph ,70.0 km/h,43.5,mph,43.5,72,ft,,3,4.5
